code,name,regn,ala,arg,asp,glu,gly,pro,ser,tyr
E013,Black berry (Rubus fruticosus),5,6.40±0.24,4.31±2.14,12.08±0.69,15.66±0.50,6.02±0.65,5.55±0.42,5.36±0.50,3.03±0.26
E014,"Cherries, red (Prunus cerasus)",4,4.99±1.97,1.77±0.53,28.46±12.91,15.62±3.07,6.51±2.15,4.22±0.96,4.61±0.88,2.20±0.41
E015,"Currants, black (Ribes nigrum)",1,3.69,6.97,10.42,20.94,5.36,5.03,5.23,2.89
E016,Custard apple (Annona squamosa),1,7.08,3.87,18.32,17.32,4.86,4.82,5.12,1.97
E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,6.94±0.51,4.08±0.44,12.80±0.35,15.76±1.09,6.18±0.41,5.78±0.90,5.08±0.24,2.15±0.40
E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,7.02,3.9,9.68,14.85,5.96,5.62,4.86,2
E019,"Dates, processed (Phoenix dactylifera)",2,8.53,3.66,13.63,16.39,6.7,6.43,5.94,2.09
E020,Fig (Ficus carica),6,5.74±0.47,2.02±0.15,20.90±0.89,19.36±1.12,4.71±0.32,4.89±0.36,4.63±0.20,2.80±0.18
E021,Goosberry (Emblica officinalis),5,6.47±1.67,3.87±0.45,14.90±2.63,23.90±2.39,5.01±0.47,4.48±0.48,4.95±0.23,2.60±0.39
E022,"Grapes, seeded, round, black (Vitis vinifera)",4,6.56±0.46,5.97±0.35,9.65±0.78,22.50±3.32,3.35±0.42,4.72±0.68,4.59±0.51,2.24±0.68
E023,"Grapes, seeded, round, green (Vitis vinifera)",5,7.11±0.65,6.58±0.22,10.41±0.69,21.65±1.32,3.44±0.28,4.29±1.41,4.61±0.48,2.34±0.61
E024,"Grapes, seeded, round, red (Vitis vinifera)",5,6.32±1.55,6.50±0.24,10.87±0.98,19.45±0.92,3.18±0.14,4.72±0.27,4.79±0.19,2.49±0.30
E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,7.26±0.33,6.86±0.19,10.39±0.48,22.33±0.97,4.27±0.61,5.39±0.26,5.26±0.49,2.01±0.16
E026,"Grapes, seedless, round, green (Vitis vinifera)",5,7.35±0.85,7.01±0.57,10.39±0.78,21.53±0.31,3.46±0.42,4.84±2.08,4.69±0.46,2.40±0.02
E027,"Grapes, seedless, round, black (Vitis vinifera)",5,6.05±0.18,6.46±0.35,10.60±0.36,18.37±0.78,3.76±0.27,6.93±0.17,4.83±0.37,2.06±0.19
E028,"Guava, white flesh (Psidium guajava)",5,6.26±0.88,3.18±0.23,19.73±3.56,15.70±1.14,6.12±0.61,5.56±0.51,3.80±0.59,2.66±0.07
E029,"Guava, pink flesh (Psidium guajava)",5,6.52±0.86,3.31±0.27,19.16±1.61,15.59±0.74,6.98±0.98,5.67±0.35,4.19±0.33,2.63±0.33
E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,6.16±0.67,3.22±0.88,26.27±5.38,9.24±1.33,5.40±1.49,4.42±0.76,5.39±1.72,3.22±1.06
E031,"Jambu fruit, ripe (Syzygium cumini)",2,7.04,1.54,11.99,15.22,6.59,6.09,5.54,3.23
E032,Karonda fruit (Carissa carandas),1,5.62,4.21,15.38,15.62,3.85,3.82,4.85,3.12
E033,"Lemon, juice (Citrus limon)",6,5.22±0.55,4.28±0.47,20.55±1.50,15.10±0.71,2.03±0.27,7.60±0.83,3.86±0.33,1.35±0.19
E034,"Lime, sweet,pulp (Citrus limetta)",6,3.39±0.72,1.30±0.81,19.78±1.90,5.41±1.07,2.16±0.39,6.81±1.29,3.40±0.46,0.80±0.19
E035,Litchi (Nephelium litchi),4,10.56±1.75,2.24±0.75,11.65±0.62,16.07±1.40,5.56±0.45,5.72±1.59,5.16±0.51,2.92±0.73
E036,"Mango, ripe, banganapalli (Mangifera indica)",6,8.21±0.31,4.26±1.36,11.58±0.78,15.60±1.03,5.88±0.57,4.07±1.13,4.14±0.35,2.21±0.49
E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,9.02,4.64,11.82,14.59,5.25,3.97,4.53,2.41
E038,"Mango, ripe, himsagar (Mangifera indica)",3,10.14±0.58,4.41±0.94,12.41±1.44,14.99±0.30,5.99±0.47,4.11±0.74,4.44±0.37,2.82±0.77
E039,"Mango, ripe, kesar (Mangifera indica)",4,8.62±0.43,4.48±0.83,12.75±1.15,14.51±1.20,6.13±0.73,4.24±0.40,4.52±0.25,2.70±0.35
E040,"Mango, ripe, neelam (Mangifera indica)",2,9.93,4.29,12.33,15.06,6.03,3.48,6.55,2.54
E041,"Mango, ripe, paheri (Mangifera indica)",2,9.03,3.9,12.19,14.82,5.49,3.95,4.06,2.45
E042,"Mango, ripe, totapari (Mangifera indica)",1,8.84,4.53,13.49,13.95,5.86,3.47,4.26,2.27
E043,Mangosteen (Garcinia mangostana),1,7.6,2.64,14.16,13.3,7.07,4.27,4.76,2.86
E044,Manila tamarind (Pithecellobium dulce),1,6.25,3.35,13.85,16.45,4.21,3.56,4.86,1.85
E045,"Musk melon, orange flesh (Cucumis melon)",5,12.72±1.30,2.12±0.39,10.60±0.69,28.92±5.33,3.89±0.82,2.97±0.30,4.26±0.82,1.65±0.29
E046,"Musk melon, yellow flesh (Cucumis melon)",6,12.94±0.55,2.51±0.43,9.99±1.19,25.89±6.58,3.76±1.70,3.20±0.15,4.82±1.13,1.69±0.11
E047,"Orange, pulp (Citrus aurantium)",6,2.28±1.28,6.51±0.26,13.29±2.66,5.82±1.15,2.46±0.27,12.17±2.77,3.38±0.25,1.08±0.15
E048,"Palm fruit, tender (Borassus flabellifer)",1,6.84,3.85,13.86,16.82,4.56,4.17,5.18,1.25
E049,"Papaya, ripe (Carcia papaya)",6,4.23±0.42,2.59±0.51,15.42±1.42,13.85±3.84,5.23±0.19,4.55±0.97,4.70±0.95,2.85±0.63
E050,Peach (Prunus communis),1,5.77,4.14,21.02,19.19,3.23,4.07,4.79,1.78
E051,Pear (Pyrus sp.),6,6.55±0.35,2.48±0.41,25.05±2.31,11.67±1.81,4.31±0.62,3.64±0.62,4.46±0.26,1.36±0.13
E052,Phalsa (Grewia asiatica),2,5.27,5.86,12.12,18.54,4.96,5.31,5.01,2.18
E053,Pineapple (Ananas comosus),6,6.94±0.99,2.64±0.71,27.04±8.48,14.92±3.44,5.32±1.65,3.76±0.81,5.31±1.27,3.10±0.21
E054,Plum (Prunus domestica),3,4.25±0.23,2.67±0.25,32.17±0.94,4.85±0.07,2.06±0.19,5.83±0.09,4.23±0.12,1.61±0.14
E055,"Pomegranate, maroon seeds (Punica granatum)",6,4.80±0.80,8.35±2.12,8.50±0.32,27.33±2.29,3.55±0.14,3.46±0.43,4.83±0.49,1.83±0.39
E056,Pummelo (Citrus maxima),3,7.62±0.38,5.19±0.54,27.70±1.20,12.35±0.25,2.74±0.17,9.41±0.30,4.78±0.11,1.83±0.08
E057,"Raisins, dried, black (Vitis vinifera)",6,6.28±0.60,13.13±2.04,7.35±1.24,10.49±0.33,3.29±0.87,8.53±0.43,4.32±0.37,2.20±0.71
E058,"Raisins, dried, golden (Vitis vinifera)",6,6.64±0.98,14.04±0.69,6.30±0.39,11.02±0.23,3.75±0.26,9.38±0.47,5.15±0.93,1.56±0.35
E059,Rambutan (Nephelium lappaceum),1,5.87,6.75,12.73,28.08,6.62,4.66,2.69,2.7
E060,Sapota (Achras sapota),6,5.92±0.62,6.70±0.44,10.90±0.95,10.63±1.16,5.20±0.61,3.80±0.22,5.60±0.48,3.35±0.47
E061,Soursop (Annona muricata),1,4.3,3.63,15.84,19.99,5.07,5.69,5.17,3.31
E062,Star fruit (Averrhoa carambola),1,6.1,5.37,17.4,18.55,4.45,3.35,4.67,3.89
E063,Strawberry (Fragaria ananassa),6,4.98±0.30,4.51±0.30,19.70±1.69,15.88±0.98,5.63±0.39,3.41±0.18,4.10±0.28,2.88±0.29
E064,"Tamarind, pulp (Tamarindus indicus)",6,4.34±0.41,3.15±0.42,12.28±0.72,15.19±0.82,4.01±0.43,5.04±0.48,3.51±0.39,3.43±0.49
E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,3.86±0.15,7.87±0.29,16.26±1.09,13.85±0.41,1.74±0.26,3.70±0.15,2.51±0.19,1.89±0.20
E066,"Water melon, pale green (Citrullus vulgaris)",6,4.04±0.29,8.19±0.27,16.50±0.83,14.70±0.54,2.40±0.27,4.21±0.14,3.47±0.25,1.87±0.14
E067,Wood Apple (Limonia acidissima),3,5.51±0.81,7.54±1.48,31.42±4.82,15.65±3.76,2.92±0.77,4.20±1.18,4.26±0.53,2.51±0.21
E068,Zizyphus (Zizyphus jujube),1,4.62,5.51,31.84,17.33,3.14,2.52,3.86,3.46
F001 ,Beet root (Beta vulgaris) ,6,8.76±0.71 ,3.51±0.25 ,7.52±0.76 ,28.73±0.85 ,3.37±0.44 ,3.35±0.32 ,4.28±0.36 ,2.76±0.56
F002,"Carrot, orange (Dacus carota)",6,10.44±1.52,3.30±0.91,14.35±1.39,26.56±3.69,3.64±0.66,3.74±0.72,3.72±0.53,1.71±0.78
F003,"Carrot, red (Dacus carota)",4,10.23±2.20,2.47±0.13,15.01±0.32,28.68±0.42,3.07±0.47,5.50±2.64,3.97±0.68,1.74±0.03
F004,Colocasia (Colocasia antiquorum),6,4.74±0.61,7.60±0.91,12.77±1.06,14.22±0.85,4.57±0.51,4.03±0.94,4.17±0.39,3.89±0.26
F005,Lotus root (Nelumbium nelumbo),3,5.11±1.11,5.57±0.58,26.00±5.38,14.81±2.20,3.91±0.43,3.16±0.96,4.33±0.23,2.70±0.11
F006,"Potato, brown skin, big (Solanum tuberosum)",6,5.81±1.42,3.58±0.72,21.07±0.46,18.54±0.61,3.31±0.07,3.60±0.49,4.39±0.84,3.23±0.54
F007,"Potato, brown skin, small (Solanum tuberosum)",1,5.63,3.55,9.76,19.04,3,3.19,4.17,2.94
F008,"Potato, red skin (Solanum tuberosum)",1,7.52,3.64,6.81,20.4,2.8,3.36,4.54,3.92
F009,"Radish, elongate, red skin (Raphanus sativus)",3,7.36±0.11,4.53±0.01,9.70±0.96,28.02±1.14,4.08±0.05,4.29±0.13,4.33±0.05,1.62±0.30
F010,"Radish, elongate, white skin (Raphanus sativus)",6,7.49±1.02,4.15±0.94,9.78±1.30,26.26±6.49,4.51±1.56,4.28±1.11,4.55±1.16,1.73±0.32
F011,"Radish, round, red skin (Raphanus sativus)",1,7.12,4.89,10.1,24.98,4.12,4.84,4.01,1.43
F012,"Radish, round, white skin (Raphanus sativus)",2,7.37,4.16,10.49,27.62,3.83,4.45,4.12,1.78
F013,"Sweet potato, brown skin (Ipomoes batatas)",4,8.00±1.11,3.48±1.23,22.80±1.34,9.65±0.44,4.90±0.66,3.83±0.07,5.21±0.44,3.26±0.41
F014,"Sweet potato, pink skin (Ipomoes batatas)",3,8.18±2.81,3.19±0.54,14.21±1.92,10.60±1.50,5.46±0.72,3.98±0.77,5.26±0.27,2.69±0.30
F015,Tapioca (Manihot esculenta),3,8.75±1.23,3.77±0.98,13.86±2.02,14.54±1.41,5.65±0.65,3.83±0.65,5.76±0.55,1.92±0.74
F016,Water Chestnut (Eleocharis dulcis),1,6.21,5.43,15.82,14.54,5.21,3.68,5.86,3.62
F017,"Yam, elephant (Amorphophallus campanulatus)",6,5.37±0.72,9.26±1.01,11.47±0.72,16.63±1.63,4.61±0.27,5.03±0.59,6.48±0.57,3.17±0.43
F018,"Yam, ordinary (Amorphophallus campanulatus)",4,5.82±1.28,7.78±1.35,11.40±1.41,14.97±1.28,4.52±0.84,4.47±0.77,5.48±1.22,3.09±0.56
F019,"Yam, wild (Dioscorea versicolor)",2,6.78,8.61,11.93,16.15,4.78,5.3,6.28,3.34
G001,"Chillies, green-1 (Capsicum annum)",5,4.98±0.69,4.99±1.66,16.33±2.33,16.66±1.36,4.95±0.80,3.16±0.45,4.59±0.40,2.71±0.45
G002,"Chillies, green-2 (Capsicum annum)",3,4.79±0.79,4.83±0.67,16.93±1.43,18.31±0.86,4.03±0.52,2.81±0.30,4.17±0.47,2.49±0.39
G003,"Chillies, green-3 (Capsicum annum)",5,5.01±0.51,4.78±0.26,18.29±1.17,19.15±0.59,4.57±0.42,2.65±0.30,4.66±0.38,2.58±0.33
G004,"Chillies, green-4 (Capsicum annum)",3,4.60±0.59,4.78±0.33,17.72±0.78,17.31±0.54,4.98±0.48,2.76±0.31,4.21±0.35,2.93±0.25
G005,"Chillies, green-5 (Capsicum annum)",2,5.12±0.29,4.36±0.14,17.19±1.22,17.64±0.77,4.40±0.04,2.71±0.21,4.70±0.40,2.51±0.42
G006,"Chillies, green-6 (Capsicum annum)",1,3.91,4.3,18.43,19.59,3.64,2.08,4.01,2.11
G007,"Chillies, green-7 (Capsicum annum)",1,5.02,5.13,16.38,17.96,3.69,3.44,4.37,2.93
G008,"Chillies, green - all varieties (Capsicum annum)",6,4.86±0.62,4.79±0.79,17.24±1.50,17.94±1.20,4.46±0.65,2.85±0.41,4.42±0.42,2.64±0.38
G009,Coriander leaves (Coriandrum sativum),6,5.56±0.51,5.04±0.18,14.75±1.81,12.31±1.23,5.07±0.69,4.09±0.27,3.94±0.63,3.42±0.36
G010,Curry leaves (Murraya koenigii),6,7.75±0.50,4.64±0.53,15.17±0.79,11.12±0.54,6.48±0.49,6.19±0.33,5.94±0.38,2.81±0.17
G011,"Garlic, big clove (Allium sativum)",6,4.44±0.23,16.46±1.08,11.11±1.68,16.97±1.37,3.03±0.40,3.47±0.50,3.65±0.40,3.31±0.53
G012,"Garlic, small clove (Allium sativum)",3,3.73±0.23,14.66±0.47,10.45±0.81,17.60±1.05,2.94±0.28,3.92±1.30,3.20±0.22,3.27±0.19
G013,"Garlic, single clove, Kashmir (Allium sativum)",1,4.25,16.42,12.15,16.92,3.85,3.85,4.6,3.07
G014,"Ginger, fresh (Zinziber officinale)",6,4.73±0.69,5.93±0.68,15.34±1.84,13.82±1.64,4.91±0.73,3.28±0.71,4.80±0.87,3.78±0.32
G015,Mango ginger (Curcuma amada),3,4.59±0.67,4.35±0.75,17.86±1.67,14.13±0.21,5.51±0.22,4.03±1.17,5.05±0.69,3.29±0.29
G016,Mint leaves (Mentha spicata ),4,5.25±0.12,4.96±0.14,13.21±1.43,15.47±0.99,5.46±0.49,4.81±0.72,4.54±0.20,3.32±0.28
G017,"Onion, big (Allium cepa)",6,3.61±0.64,13.21±0.46,8.96±0.84,25.10±0.60,3.86±0.64,2.01±0.33,2.68±0.54,1.92±0.23
G018,"Onion, small (Allium cepa)",5,5.48±0.78,12.28±0.81,9.51±1.25,25.34±1.94,6.50±0.36,3.55±0.81,3.03±0.55,2.24±0.48
G019,Asafoetida (Ferula assa-foetida),6,3.99±0.34,3.33±0.61,13.74±1.92,27.68±4.23,4.34±0.46,7.15±0.64,6.03±0.50,2.40±0.33
G020,"Cardamom, green (Elettaria cardamomum)",6,6.24±0.75,9.33±0.93,11.96±1.40,19.21±1.33,5.29±0.77,3.60±0.30,5.82±0.64,2.39±0.42
G021,"Cardamom, black (Elettaria cardamomum)",4,6.19±0.88,7.36±0.31,15.14±0.95,17.81±0.83,5.64±0.85,4.25±0.20,5.37±0.01,1.97±0.36
G022,"Chillies, red (Capsicum annum)",6,4.77±0.35,4.96±0.22,14.05±2.24,17.32±0.88,5.13±0.50,5.67±0.62,4.32±0.37,3.09±0.44
G023,Cloves (Syzygium aromaticum),6,4.31±0.58,6.38±0.25,11.01±0.99,18.47±0.91,4.58±1.27,3.90±0.45,5.32±0.46,2.57±0.30
G024,Coriander seeds (Coriandrum sativum),6,4.97±0.51,6.01±0.58,10.72±0.70,15.62±1.50,6.29±0.44,4.91±0.49,4.70±0.52,3.05±0.33
G025,Cumin seeds (Cuminum cyminum),6,5.22±0.28,6.82±0.34,8.96±0.29,20.91±0.54,7.22±0.44,4.33±0.41,5.07±0.18,3.27±0.32
G026,Fenugreek seeds (Trigonella foenum graecum),6,4.31±0.58,8.38±0.41,11.01±0.99,18.47±0.91,4.92±0.54,3.90±0.45,5.32±0.46,2.57±0.30
G027,Mace (Myristica fragrans),6,7.39±0.52,4.80±0.60,12.36±1.37,10.93±0.68,6.24±0.41,5.21±0.55,5.92±0.67,3.78±0.33
G028,Nutmeg (Myristica fragrans),6,5.98±0.79,6.88±0.80,10.96±0.83,16.10±0.76,5.72±0.66,4.54±0.70,6.20±0.68,2.43±0.43
G029,Omum (Trachyspermum ammi),6,5.47±0.51,5.91±0.48,10.87±1.78,18.46±0.72,7.84±0.68,4.72±0.40,5.33±0.44,2.74±0.15
G030,Pippali (Piper longum),6,6.12±0.90,7.69±0.19,15.24±1.47,15.04±0.83,4.70±0.73,6.61±1.02,5.25±0.85,4.97±0.53
G031,"Pepper, black (Piper nigrum)",6,5.45±0.06,2.31±0.40,12.11±0.70,15.96±0.78,4.72±0.22,6.58±0.99,4.16±0.24,4.50±0.13
G032,Poppy seeds (Papaver somniferum),6,4.89±0.43,8.87±0.25,10.98±0.87,24.34±0.92,5.12±0.58,14.39±0.10,5.29±0.55,3.41±0.22
G033,Turmeric powder (Curcuma domestica),6,3.75±0.32,5.35±0.48,14.66±0.43,13.44±0.50,4.53±0.23,2.61±0.26,4.46±0.27,3.12±0.32
H001,Almond (Prunus amygdalus),6,4.20±0.75,11.01±0.22,11.77±0.43,27.98±0.71,6.04±0.15,4.03±0.13,4.27±0.44,3.38±0.73
H002,"Arecanut, dried, brown (Areca catechu)",6,3.80±0.37,11.15±1.15,8.03±0.92,19.36±1.56,4.70±0.58,3.71±0.30,4.68±0.28,3.18±0.76
H003,"Arecanut, dried, red color (Areca catechu)",3,6.70±0.44,12.68±1.19,8.22±1.00,19.61±1.29,5.21±0.30,4.62±0.69,5.89±1.02,2.84±0.28
H004,"Arecanut, fresh (Areca catechu)",2,3.8,10.99,8.2,22.03,4.54,4.25,5.01,2.84
H005,Cashew nut (Anacardium occidentale),6,5.35±0.37,9.75±0.07,9.85±0.19,22.76±0.64,5.25±0.39,3.97±0.20,6.39±0.35,2.81±0.11
H006,"Coconut, kernal, dry (Cocos nucifera)",6,5.51±0.58,13.08±1.96,9.59±1.16,22.14±1.17,4.54±0.33,3.50±0.27,5.11±0.62,2.69±0.07
H007,"Coconut, kernel, fresh (Cocos nucifera)",6,5.27±0.18,13.87±0.44,9.62±0.23,19.12±0.56,4.63±0.19,4.61±0.21,5.33±0.20,3.20±0.31
H008,"Garden cress, seeds (Lepidium sativum)",5,5.33±0.35,10.67±0.38,10.29±0.83,21.34±0.82,5.22±0.19,4.37±0.17,4.99±0.18,3.47±0.12
H009,"Gingelly seeds, black (Sesamum indicum)",6,5.92±0.70,11.02±0.73,8.63±1.39,20.14±1.72,5.66±0.76,3.76±0.41,5.48±0.54,3.22±0.72
H010,"Gingelly seeds, brown (Sesamum indicum)",4,5.67±0.82,11.30±0.77,8.65±0.48,20.73±0.99,5.58±0.55,3.48±0.14,5.43±0.38,3.36±0.26
H011,"Gingelly seeds, white (Sesamum indicum)",5,5.62±1.14,11.18±0.75,9.06±1.38,20.03±1.33,6.32±1.48,3.76±0.41,5.63±0.51,3.30±0.33
H012,Ground nut (Arachis hypogea),6,4.23±0.30,10.85±0.78,11.68±1.66,19.41±1.16,5.56±0.38,3.74±0.97,5.05±0.37,3.86±0.37
H013,Mustard seeds (Brassica juncea),6,4.62±0.53,6.71±0.74,7.14±0.68,19.70±2.13,5.08±0.77,6.11±0.80,4.20±0.72,3.03±0.30
H014,Linseeds (Linum usitatissimum),6,4.89±0.25,11.15±0.62,10.87±0.25,17.70±1.07,5.71±0.20,4.39±0.17,5.25±0.12,3.48±0.12
H015,"Niger seeds, black (Guizotia abyssinica)",4,6.92±0.68,7.54±0.65,9.85±0.55,22.85±2.79,6.13±0.79,4.46±0.61,4.16±0.84,3.02±0.19
H016,"Niger seeds, gray (Guizotia abyssinica)",5,4.90±0.74,8.33±0.52,10.53±1.76,21.33±1.60,6.24±0.13,4.20±0.56,6.18±0.91,2.87±0.95
H017,Pine seed (Pinus gerardiana),5,4.33±0.27,16.73±0.51,8.97±0.61,18.23±0.79,4.34±0.20,4.59±0.23,4.18±0.22,2.74±0.11
H018,Pistachio nuts (Pistacla vera),6,5.17±0.15,8.52±0.36,9.94±0.38,16.37±0.62,5.99±0.17,3.69±0.12,4.19±0.30,3.18±0.29
H019,Safflower seeds (Carthamus tinctorius),5,5.71±0.19,9.34±0.23,10.22±0.38,20.14±0.86,5.96±0.16,4.05±0.21,5.56±0.12,3.24±0.21
H020,Sunflower seeds (Helianthus annuus),5,5.69±0.33,8.55±0.37,9.80±0.29,22.29±0.81,6.29±0.18,4.76±0.28,5.51±0.08,2.47±0.11
H021,Walnut (Juglans regia),6,5.44±0.60,13.47±0.49,10.18±0.90,20.50±0.77,5.55±0.32,3.42±0.35,6.54±0.50,2.73±0.34
I001,"Jaggery, cane (Saccharum officinarum)",6,4.53±0.25,3.01±0.42,31.24±0.90,12.89±2.93,2.72±0.71,1.71±0.74,3.34±0.28,1.00±0.18
I002,"Sugarcane, juice (Saccharum officinarum)",6,5.22±0.36,3.43±0.16,30.49±1.15,11.60±0.54,2.70±0.22,2.46±0.25,3.55±0.31,2.35±0.19
J001,"Button mushroom, fresh (Agaricus sp.)",1,5.6,6.6,10.24,14.35,5.38,3.8,4.32,3.2
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,6.2,7.23,10.3,15.8,5.26,4.21,4.5,3.18
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,6.38,6.8,10.51,14.67,5.8,3.66,4.45,3.1
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,6.46,6.94,10.72,15.6,5.69,4.4,4.8,3.08
K001 ,Toddy ,10,,,,,,,,
K002,Coconut Water,6,20.28±2.26,5.13±1.26,10.81±0.71,31.01±1.65,1.97±0.64,4.25±1.56,5.05±1.71,1.57±0.31
L001 ,"Milk, whole, Buffalo ",6,3.38±0.14 ,3.09±0.42 ,8.21±0.16 ,16.21±0.76 ,2.43±0.08 ,7.60±0.40 ,5.78±0.39 ,4.86±0.41
L002,"Milk, whole, Cow",6,3.87±0.27,3.25±0.34,8.84±0.36,17.88±0.43,2.35±0.07,6.82±0.13,6.36±0.51,5.48±0.35
L003,Paneer,6,3.39±1.05,3.56±0.46,7.69±0.14,20.24±1.09,2.18±0.19,10.45±0.59,5.27±0.13,5.36±0.31
L004,Khoa,6,3.99±0.35,1.06±0.67,7.95±0.23,21.82±0.43,2.02±0.11,11.32±0.89,5.37±0.33,4.95±0.31
M001,"Egg, poultry, whole, raw",6,3.12±0.12,13.53±0.32,3.23±0.20,2.28±0.05,4.11±0.21,5.36±0.39,6.71±0.33,3.93±0.12
M002,"Egg, poultry, white, raw",6,3.06±0.13,14.15±0.65,3.49±0.27,2.35±0.23,4.88±0.78,5.31±0.23,6.45±0.31,3.62±0.16
M003,"Egg, poultry, yolk, raw",6,2.72±0.11,13.69±0.40,3.20±0.11,2.11±0.07,3.97±0.15,5.35±0.21,7.97±0.33,4.05±0.17
M004,"Egg, poultry, whole, boiled",6,2.86±0.23,13.69±0.39,3.20±0.12,2.30±0.29,3.88±0.17,5.23±0.11,6.85±0.21,4.03±0.15
M005,"Egg, poultry, white, boiled",6,3.34±0.27,13.03±0.64,3.42±0.25,2.25±0.04,4.53±0.71,5.24±0.11,7.36±0.35,3.48±0.22
M006,"Egg, poultry, yolk, boiled",6,2.43±0.31,13.06±0.74,3.04±0.06,2.08±0.05,3.46±0.25,5.29±0.13,7.44±0.38,4.06±0.62
M007,"Egg, poultry, omlet",3,2.98±0.06,13.73±0.07,3.32±0.07,2.04±0.40,4.91±1.51,5.24±0.03,6.68±0.15,3.93±0.04
M008,"Egg, country hen, whole, raw",1,2.97,13.04,3.54,2.15,3.36,5.74,7.54,3.7
M009,"Egg, country hen, whole, boiled",1,3.1,13.24,3.28,2.18,3.82,5.82,6.65,3.99
M010,"Egg, country hen, omlet",1,2.88,13.87,3.26,2.2,3.83,5.33,6.9,3.71
M011,"Egg, duck, whole, boiled",1,3.03,13.41,2.76,2.12,3.59,5.42,5.74,3.93
M012,"Egg, duck, whole, raw",1,2.82,13.61,3.62,2.08,3.5,5.24,6.49,3.96
M013,"Egg, duck, whole, omlet",1,3.18,13.88,2.88,1.98,3.91,5.42,5.61,3.53
M014,"Egg, quial, whole, raw",1,2.64,13.77,4.14,1.85,3.36,5.77,6.43,3.73
M015,"Egg, quial, whole, boiled",1,2.72,13.44,3.45,1.88,3.71,5.82,6,3.89
N001,"Chicken, poultry, leg, skinless",4,2.39±0.21,16.40±0.68,4.98±0.12,1.16±0.14,4.30±0.17,4.75±0.25,3.91±0.25,3.71±0.17
N002,"Chicken, poultry, thigh, skinless",6,2.63±0.32,16.87±0.37,4.85±0.46,1.20±0.12,3.93±0.47,4.89±0.16,4.01±0.36,3.51±0.23
N003,"Chicken, poultry, breast, skinless",5,2.49±0.20,16.92±0.43,4.80±0.25,1.08±0.12,4.77±0.31,5.48±0.37,4.15±0.39,3.89±0.16
N004,"Chicken, poultry, wing, skinless",5,2.69±0.18,16.01±0.45,5.01±0.27,1.42±0.13,4.37±0.43,4.77±0.15,3.85±0.20,3.15±0.05
N005,"Poultry, chicken, liver",1,2.53,12.74,4.65,1.44,4.51,5.11,4.44,3.81
N006,"Poultry, chicken, gizzard",1,2.55,14.29,5.63,1.67,5.9,4.53,4.01,3.78
N007,"Country hen, leg, with skin",1,2.49,15.12,3.03,1.19,3.69,5.16,5.57,3.97
N008,"Country hen, thigh, with skin",1,2.63,15.54,4.76,1.08,4.87,5.04,4.96,3.99
N009,"Country hen, breast, with skin",1,2.47,15.91,4.34,1.08,5.06,4.98,4.78,4.09
N010,"Country hen, wing, with skin",1,2.84,15.93,5.37,1.16,4.6,4.64,3.77,3.86
N011,"Duck, meat, with skin",1,2.65,14.99,4.8,1.14,4.47,5.46,4.43,4.59
N012,"Emu, meat, skinless",1,2.89,14.36,4.83,1.24,4.53,5.77,4.26,4.39
N013,"Guinea fowl, meat, with skin",1,2.58,14.57,4.98,0.99,4.2,4.88,4.04,3.45
N014,"Pigeon, meat, with skin",1,3.02,14.38,4.77,1.16,4.14,5.33,4.19,3.62
N015,"Quail, meat, skinless",1,2.89,14.35,5.03,1.27,3.5,5.74,4.46,4.13
N016,"Turkey, leg, with skin",1,3.08,15.71,4.55,1.43,4.13,5.8,4.46,4.04
N017,"Turkey, thigh, with skin",1,2.69,16.08,4.66,1.44,4.27,5.82,4.65,3.89
N018,"Turkey, breast, with skin",1,2.57,15.39,4.62,1.12,4.26,5.46,4.09,4.36
N019,"Turkey, wing, with skin",1,2.35,16.62,5.2,1.43,4.28,5.1,4.22,4.07
O001,"Goat, shoulder",6,2.17±0.17,14.68±0.73,5.63±0.34,1.35±0.18,4.72±0.13,4.19±0.39,4.34±0.30,3.95±0.43
O002,"Goat, chops",6,2.56±0.57,14.31±1.25,6.05±0.70,1.35±0.16,4.20±0.47,4.59±0.17,4.24±0.63,3.71±0.23
O003,"Goat, legs",6,2.79±0.30,14.02±1.12,5.64±0.58,1.67±0.57,4.08±0.45,4.63±0.31,4.43±0.42,4.66±0.79
O004,"Goat, brain",5,3.05±0.29,13.68±0.35,5.72±0.23,1.29±0.08,4.20±0.14,4.82±0.09,5.29±0.35,4.68±0.55
O005,"Goat, tongue",4,2.38±0.52,13.47±0.63,6.34±0.36,1.45±0.11,4.78±0.53,4.15±0.28,4.64±0.75,3.97±0.62
O006,"Goat, lungs",4,2.46±0.41,11.41±0.94,6.06±0.26,1.48±0.05,5.59±0.45,3.26±0.12,4.58±0.29,4.51±0.48
O007,"Goat, heart",5,2.41±0.20,13.14±0.74,6.71±1.03,1.71±0.38,4.38±0.38,4.27±0.26,4.74±0.29,3.97±0.40
