code,name,regn,retol,ergcal,chocal,doh25,tocpha,tocphb,tocphg,tocphd,toctra,toctrb,toctrg,toctrd,vite,vitk1,vitk2
G017,"Onion, big (Allium cepa)",6,,0.73±0.19,,,0.05±0.01,,,,,,,,0.05±0.01,4.50±1.47,
G018,"Onion, small (Allium cepa)",5,,0.12±0.03,,,0.06±0.02,,,,,,,,0.06±0.02,5.30±1.46,
G019,Asafoetida (Ferula assa-foetida),6,,12.59±1.40,,,0.73±0.08,,,,0.12±0.01,,,,0.77±0.08,46.56±2.21,
G020,"Cardamom, green (Elettaria cardamomum)",6,,43.72±2.28,,,0.14±0.02,1.13±0.09,,,0.59±0.09,,,,0.77±0.06,6.81±0.55,
G021,"Cardamom, black (Elettaria cardamomum)",4,,43.55±3.33,,,0.36±0.07,0.83±0.26,,,1.38±0.06,,,,1.10±0.08,5.74±0.43,
G022,"Chillies, red (Capsicum annum)",6,,24.36±2.56,,,0.69±0.21,,2.91±1.02,,,,,,0.98±0.30,274±6.6,
G023,Cloves (Syzygium aromaticum),6,,45.07±2.37,,,0.46±0.04,0.77±0.07,,,0.01±0.00,,,,0.77±0.04,161±36.7,
G024,Coriander seeds (Coriandrum sativum),6,,1.31±0.01,,,0.91±0.07,,,,0.32±0.02,,0.47±0.02,0.24±0.02,1.01±0.06,35.70±2.52,
G025,Cumin seeds (Cuminum cyminum),6,,12.10±0.07,,,1.49±0.05,,,,,,,,1.49±0.05,146±2.2,
G026,Fenugreek seeds (Trigonella foenum graecum),6,,1.98±0.08,,,0.02±0.00,,,,0.02±0.00,,,,0.02±0.00,1.50±0.84,
G027,Mace (Myristica fragrans),6,,44.92±2.28,,,1.05±0.05,,,,10.36±0.16,,,,4.16±0.08,70.44±4.62,
G028,Nutmeg (Myristica fragrans),6,,46.67±0.45,,,1.18±0.07,,,,0.09±0.00,,,,1.21±0.07,60.92±1.42,
G029,Omum (Trachyspermum ammi),6,,2.62±0.19,,,0.01±0.00,,,0.41±0.02,,,,0.11±0.01,0.01±0.00,30.36±3.99,
G030,Pippali (Piper longum),6,,118±1.6,,,0.01±0.00,,0.26±0.03,,,,,,0.03±0.00,93.45±1.89,
G031,"Pepper, black (Piper nigrum)",6,,25.68±0.51,,,0.59±0.15,1.58±0.15,0.45±0.05,,0.01±0.00,,,,1.27±0.16,171±31.5,
G032,Poppy seeds (Papaver somniferum),6,,33.92±1.81,,,1.66±0.15,,0.10±0.01,,,,,,1.67±0.15,95.18±2.16,
G033,Turmeric powder (Curcuma domestica),6,,18.67±1.38,,,2.63±0.67,0.28±0.10,,,0.60±0.06,,,,2.92±0.70,12.80±1.26,
H001,Almond (Prunus amygdalus),6,,1.61±0.16,,,24.88±3.55,1.87±0.06,1.68±0.19,0.08±0.01,0.21±0.02,,,,25.86±3.54,8.40±0.93,
H002,"Arecanut, dried, brown (Areca catechu)",6,,12.77±1.10,,,0.06±0.00,0.22±0.10,0.03±0.01,,,,,,0.15±0.03,3.78±0.57,
H003,"Arecanut, dried, red color (Areca catechu)",3,,12.60±1.17,,,0.04±0.01,0.27±0.01,0.04±0.00,,,,,,0.17±0.01,3.90±0.55,
H004,"Arecanut, fresh (Areca catechu)",2,,11.03,,,0.01,0.13,0.02,,,,,,0.06,3.71,
H005,Cashew nut (Anacardium occidentale),6,,3.85±0.23,,,1.05±0.05,0.05±0.01,5.26±0.05,,,,,,1.05±0.06,1.83±0.21,
H006,"Coconut, kernal, dry (Cocos nucifera)",6,,,,,6.02±0.54,,0.44±0.01,,,,,,6.06±0.54,2.88±0.57,
H007,"Coconut, kernel, fresh (Cocos nucifera)",6,,,,,2.39±1.11,0.05±0.02,3.19±0.45,,,,,,2.72±1.09,23.22±1.76,
H008,"Garden cress, seeds (Lepidium sativum)",5,,1.92±0.11,,,1.07±0.01,,,,,,,,0.07±0.01,24.66±3.01,
H009,"Gingelly seeds, black (Sesamum indicum)",6,,67.83±4.18,,,1.08±0.01,,,,0.03±0.01,,,,0.09±0.01,110±6.1,
H010,"Gingelly seeds, brown (Sesamum indicum)",4,,76.51±2.78,,,1.22±0.08,,,,0.04±0.01,,,,0.23±0.08,113±7.6,
H011,"Gingelly seeds, white (Sesamum indicum)",5,,62.74±3.34,,,1.24±0.17,,,,0.07±0.02,,,,1.26±0.17,106±2.4,
H012,Ground nut (Arachis hypogea),6,,7.10±0.72,,,4.26±0.10,,,,0.04±0.01,,,,0.28±0.10,2.50±0.75,
H013,Mustard seeds (Brassica juncea),6,,31.79±1.56,,,1.44±0.08,,,,0.04±0.01,,,,0.45±0.08,8.20±1.27,
H014,Linseeds (Linum usitatissimum),6,,0.55±0.13,,,7.79±0.81,,1.51±0.13,,1.12±0.01,,,,8.28±0.81,19.17±0.70,
H015,"Niger seeds, black (Guizotia abyssinica)",4,,2.52±0.41,,,2.59±0.09,,7.79±1.04,1.05±0.03,,1.08±0.02,,,1.44±0.17,110±13.5,
H016,"Niger seeds, gray (Guizotia abyssinica)",5,,2.70±0.18,,,2.18±0.10,,4.18±0.33,1.25±0.21,,1.12±0.02,,,2.66±0.11,105±14.3,
H017,Pine seed (Pinus gerardiana),5,,0.61±0.08,,,4.01±0.00,,,,,,,,0.01±0.00,44.55±2.44,
H018,Pistachio nuts (Pistacla vera),6,,1.80±0.34,,,31.41±5.46,4.10±0.67,8.48±1.38,1.55±0.23,0.02±0.01,,,,33.92±5.53,18.65±0.70,
H019,Safflower seeds (Carthamus tinctorius),5,,1.91±0.17,,,31.74±6.84,5.88±0.69,9.62±3.19,1.98±0.15,0.06±0.01,,,,35.09±7.13,8.80±1.13,
H020,Sunflower seeds (Helianthus annuus),5,,1.54±0.18,,,21.39±0.37,3.42±0.67,3.41±0.32,,,,,,12.93±1.24,9.20±0.89,
H021,Walnut (Juglans regia),6,,46.31±2.64,,,2.65±1.09,3.50±0.44,0.43±0.15,0.16±0.03,0.10±0.00,,,,4.12±1.14,84.92±1.55,
I001,"Jaggery, cane (Saccharum officinarum)",6,,0.47±0.06,,,0.04±0.01,,,,,,,,0.04±0.01,,
I002,"Sugarcane, juice (Saccharum officinarum)",6,,0.41±0.01,,,0.02±0.01,,,,,,,,0.02±0.01,,
J001,"Button mushroom, fresh (Agaricus sp.)",1,,20.54,,,0.01,,,,,,,,0.01,12.5,
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,,27.58,,,0.02,,,,,,,,0.02,16.29,
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,,36.40,,,0.01,,,,,,,,0.01,12.50,
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,,109,,,0.01,,,,,,,,0.01,11.80,
K001,Toddy,10,,,,,,,,,0.02±0.01,,,,0.01±0.00,,
K002,Coconut Water,6,,,,,0.45±0.03,,,,,,,,0.45±0.03,2.69±0.18,
L001,"Milk, whole, Buffalo",6,,1.63±0.13,,,0.12±0.02,0.09±0.02,,,0.10±0.02,,0.08±0.02,,0.19±0.02,,
L002,"Milk, whole, Cow",6,,1.22±0.21,,,0.14±0.02,0.11±0.01,,,0.15±0.02,,0.08±0.01,,0.22±0.02,,
L003,Paneer,6,,0.13±0.04,,,0.02±0.01,,,,,,,,0.02±0.01,,
L004,Khoa,6,,0.12±0.03,,,0.03±0.02,,,,,,,,0.03±0.02,,
M001,"Egg, poultry, whole, raw",6,198±6.7,,0.84±0.13,,1.47±0.41,0.05±0.01,0.02±0.01,0.03±0.02,0.07±0.01,0.01±0.01,0.02±0.01,,1.51±0.41,,14.61±0.27
M002,"Egg, poultry, white, raw",6,,,1.05±0.09,,,,,,,,,,,,
M003,"Egg, poultry, yolk, raw",6,539±26.2,,3.25±0.47,0.04±0.04,2.94±0.37,0.02±0.01,0.01±0.01,0.04±0.02,0.06±0.02,0.01±0.01,0.01±0.01,,2.97±0.36,,45.14±3.21
M004,"Egg, poultry, whole, boiled",6,180±10.5,,0.74±0.10,,1.31±0.11,0.04±0.01,0.02±0.01,,0.03±0.02,0.01±0.01,,,1.34±0.10,,13.02±1.35
M005,"Egg, poultry, white, boiled",6,,,0.18±0.02,,,,,,,,,,,,
M006,"Egg, poultry, yolk, boiled",6,456±31.2,,3.04±0.33,,2.77±0.27,0.02±0.01,0.01±0.00,0.03±0.01,0.05±0.02,0.01±0.01,,,2.80±0.28,,40.29±6.52
M007,"Egg, poultry, omlet",3,181±18.0,,2.98±0.27,,1.82±0.17,0.06±0.01,0.03±0.01,0.25±0.10,0.11±0.02,0.01±0.01,,,1.88±0.17,,16.62±1.49
M008,"Egg, country hen, whole, raw",1,206,,4.46,,2.05,0.06,0.03,,0.08,0.01,,,2.10,,64.00
M009,"Egg, country hen, whole, boiled",1,195,,2.99,,2.00,0.05,0.03,,0.08,0.01,,,2.05,,60.00
M010,"Egg, country hen, omlet",1,202,,3.44,,2.70,0.07,0.04,,0.18,0.01,,,2.79,,66.00
M011,"Egg, duck, whole, boiled",1,171,,1.90,,2.04,,0.04,,0.04,,,,2.06,,117
M012,"Egg, duck, whole, raw",1,181,,2.67,,2.45,,0.04,,0.05,,,,2.47,,118
M013,"Egg, duck, whole, omlet",1,166,,2.10,,2.62,,0.06,,0.11,,,,2.66,,111
M014,"Egg, quial, whole, raw",1,151,,5.72,,0.98,,0.01,,0.05,,,,0.99,,8.19
M015,"Egg, quial, whole, boiled",1,140,,4.91,,0.82,,0.01,,0.04,,,,0.84,,4.46
N001,"Chicken, poultry, leg, skinless",4,10.95±2.21,,1.12,0.02±0.00,0.60±0.10,,0.10±0.00,,0.02±0.01,0.01±0.01,,,0.61±0.10,,10.78±1.41
N002,"Chicken, poultry, thigh, skinless",6,16.48±2.85,,1.22,0.02±0.00,0.65±0.13,,0.10±0.00,,0.01±0.01,0.02±0.01,,,0.66±0.13,,16.17±1.12
N003,"Chicken, poultry, breast, skinless",5,6.96±1.36,,1.38,,0.29±0.10,,0.05±0.00,,0.01±0.01,,0.02±0.01,,0.29±0.10,,27.80±5.84
N004,"Chicken, poultry, wing, skinless",5,31.21±4.75,,1.11±0.12,,0.57±0.14,,0.08±0.00,,0.01±0.01,,0.02±0.01,,0.58±0.14,,28.17±3.06
N005,"Poultry, chicken, liver",1,3486,,2.62,0.02,0.72,,0.10,,,,,,0.73,,14.30
N006,"Poultry, chicken, gizzard",1,46.78,,1.60,,0.63,,,,,,,,0.63,,28.58
N007,"Country hen, leg, with skin",1,17.44,,1.12,,0.69,,0.10,,0.01,0.01,0.01,,0.70,,11.31
N008,"Country hen, thigh, with skin",1,27.00,,1.05,,0.54,,0.10,,0.01,0.02,,,0.55,,18.50
N009,"Country hen, breast, with skin",1,8.52,,0.80,,0.35,,0.06,,0.01,0.02,,,0.36,,28.88
N010,"Country hen, wing, with skin",1,27.52,,0.61,,0.57,,0.08,,0.01,,0.02,,0.58,,31.65
N011,"Duck, meat, with skin",1,48.86,,0.91,,0.70,,,,0.01,,,,0.70,,7.88
N012,"Emu, meat, skinless",1,2.84,,0.67,,0.40,,0.15,,0.02,,,,0.42,,8.06
N013,"Guinea fowl, meat, with skin",1,2.26,,1.02,,1.75,,1.30,,,,0.01,,1.88,,11.05
N014,"Pigeon, meat, with skin",1,15.25,,1.20,,1.52,,0.15,,,0.01,,,1.54,,7.10
N015,"Quail, meat, skinless",1,12.84,,1.53,,1.59,,0.81,,0.01,,,,1.67,,7.30
N016,"Turkey, leg, with skin",1,8.15,,0.50,,0.72,,0.01,,0.01,,,,0.72,,18.46
N017,"Turkey, thigh, with skin",1,13.11,,0.36,,0.62,,0.02,,0.01,,,,0.63,,25.36
N018,"Turkey, breast, with skin",1,8.97,,0.52,,0.56,,0.03,,0.02,,,,0.57,,26.43
N019,"Turkey, wing, with skin",1,18.07,,0.52,,0.43,,0.02,,0.01,,,,0.44,,18.43
O001,"Goat, shoulder",6,7.57±1.04,,0.80,,0.35±0.04,,,,,,,,0.35±0.04,,5.80±1.29
O002,"Goat, chops",6,2.55±0.50,,0.40,,0.15±0.03,,,,,,,,0.15±0.03,,6.50±1.06
O003,"Goat, legs",6,8.51±1.19,,0.28,0.04±0.00,0.09±0.03,,,,,,,,0.09±0.03,,9.50±1.86
O004,"Goat, brain",5,1.98±0.92,,0.30±0.30,,0.08±0.01,,,,,,,,0.07±0.04,,3.80±1.23
O005,"Goat, tongue",4,8.95±2.16,,0.02,0.33±0.00,0.08±0.01,,,,,,,,0.08±0.01,,1.70±0.16
O006,"Goat, lungs",4,2.75±0.59,,0.09,1.31±0.00,0.08±0.01,,,,,,,,0.08±0.01,,4.60±0.91
O007,"Goat, heart",5,5.90±0.36,,0.60,,0.09±0.01,,,,,,,,0.09±0.01,,10.60±0.97
O008,"Goat, liver",6,15655±972,,0.56,0.18±0.00,0.61±0.08,,,,,,,,0.61±0.08,,12.64±2.43
O009,"Goat, tripe",5,2.17±0.52,,,,0.10±0.02,,,,,,,,0.10±0.02,,11.50±2.06
O010,"Goat, spleen",4,7.85±0.84,,0.10,0.36±0.00,0.08±0.02,,,,,,,,0.08±0.02,,9.00±0.74
O011,"Goat, kidneys",4,68.56±3.91,,,,0.09±0.01,,,,,,,,0.09±0.01,,3.50±1.46
O012,"Goat, tube (small intestine)",3,2.62±1.01,,,,0.19±0.02,,,,,,,,0.13±0.12,,11.00±0.99
O013,"Goat, testis",2,2.48,,0.55,0.07,0.09,,,,,,,,0.09,,2.50
O014,"Sheep, shoulder",5,8.71±1.66,,0.07±0.04,,0.31±0.06,,,,,,,,0.31±0.06,,6.80±0.57
O015,"Sheep, chops",4,3.49±0.44,,0.47,,0.10±0.02,,,,,,,,0.10±0.02,,7.30±0.45
O016,"Sheep, leg",5,9.93±1.67,,2.14,0.65±0.00,0.08±0.02,,,,,,,,0.08±0.02,,8.90±1.38
O017,"Sheep, brain",1,1.55,,1.06,,0.09,,,,,,,,0.09,,2.80
O018,"Sheep, tongue",1,7.33,,,,0.07,,,,,,,,0.07,,1.50
O019,"Sheep, lungs",2,2.45,,0.12,0.19,0.08,,,,,,,,0.08,,4.90
O020,"Sheep, heart",1,4.64,,0.80,,0.15,,,,,,,,0.15,,9.70
O021,"Sheep, liver",4,14106±866,,0.31,0.36±0.00,0.60±0.04,,,,,,,,0.60±0.04,,14.70±1.24
O022,"Sheep, tripe",2,2.72,,,,0.20,,,,,,,,0.20,,10.90
O023,"Sheep, spleen",1,6.61,,,,0.10,,,,,,,,0.10,,7.50
O024,"Sheep, kidneys",2,68.68,,0.37,0.07,0.10,,,,,,,,0.10,,2.90
O025,"Beef, shoulder",6,15.51±2.43,,0.46,0.14±0.00,0.40±0.12,,,,,,,,0.40±0.12,,2.90±1.12
O026,"Beef, chops",4,2.43±0.40,,0.47,0.05±0.00,0.30±0.03,,,,,,,,0.30±0.03,,2.80±1.07
O027,"Beef, round (leg)",6,2.52±0.64,,0.43,0.11±0.00,0.40±0.09,,,,,,,,0.40±0.09,,5.80±1.29
O028,"Beef, brain",4,2.18±0.22,,0.69,0.05±0.00,0.10±0.02,,,,,,,,0.10±0.02,,2.70±0.85
O029,"Beef, tongue",4,5.56±0.53,,0.61,0.15±0.00,0.11±0.02,,,,,,,,0.11±0.02,,1.90±0.26
O030,"Beef, lungs",3,1.89±0.16,,,,0.11±0.04,,,,,,,,0.11±0.04,,3.70±1.05
O031,"Beef, heart",5,10.13±1.52,,5.71,0.27±0.00,0.10±0.02,,,,,,,,0.10±0.02,,2.50±1.02
O032,"Beef, liver",6,9119±707,,,4.00±0.00,0.60±0.06,,,,,,,,0.60±0.06,,4.00±1.31
O033,"Beef, tripe",5,4.29±0.30,,4.00,0.06±0.00,0.41±0.08,,,,,,,,0.41±0.08,,3.50±0.64
O034,"Beef, spleen",6,8.71±1.00,,0.33,,0.10±0.01,,,,,,,,0.10±0.01,,2.50±1.00
O035,"Beef, kidneys",3,98.04±9.31,,0.53,0.11±0.00,0.08±0.03,,,,,,,,0.08±0.03,,2.50±0.92
O036,"Calf, shoulder",2,13.17,,,,0.30,,,,,,,,0.30,,3.50
O037,"Calf, chops",2,2.10,,0.74,,0.30,,,,,,,,0.30,,3.20
O038,"Calf, round (leg)",2,2.42,,0.97,,0.20,,,,,,,,0.20,,6.20
O039,"Calf, brain",2,1.41,,0.61,7.98,0.10,,,,,,,,0.10,,3.00
O040,"Calf, tongue",2,4.63,,,,0.10,,,,,,,,0.10,,1.70
O041,"Calf, heart",1,4.83,,,,0.10,,,,,,,,0.10,,1.90
O042,"Calf, liver",1,9664,,,,0.50,,,,,,,,0.50,,5.00
O043,"Calf, spleen",1,6.32,,0.29,,0.10,,,,,,,,0.10,,2.50
O044,"Calf, kidneys",2,95.73,,,,0.10,,,,,,,,0.10,,3.10
O045,"Mithun, shoulder",1,12.68,,0.06,,0.30,,,,,,,,0.30,,3.80
O046,"Mithun, chops",1,2.62,,0.08,,0.20,,,,,,,,0.20,,4.20
O047,"Mithun, round (leg)",1,2.47,,0.04,,0.30,,,,,,,,0.30,,8.50
O048,"Pork, shoulder",6,5.12±0.89,,9.03,0.35±0.00,0.30±0.18,,,,,,,,0.30±0.18,,1.80±0.34
O049,"Pork, chops",6,1.51±0.26,,4.83±0.60,2.27±1.00,0.11±0.02,,,,,,,,0.11±0.02,,2.20±0.73
O050,"Pork, ham",6,2.98±0.30,,5.85,,0.20±0.04,,,,,,,,0.20±0.04,,5.30±1.39
O051,"Pork, lungs",4,5.14±0.40,,1.91,0.14±0.00,0.11±0.03,,,,,,,,0.11±0.03,,3.80±0.68
O052,"Pork, heart",4,7.16±0.88,,,,0.10±0.02,,,,,,,,0.10±0.02,,3.50±0.93
O053,"Pork, liver",5,8759±798,,2.97,0.23±0.00,0.85±0.08,,,,,,,,0.85±0.08,,4.50±0.92
O054,"Pork, stomach",1,3.34,,0.42,0.13,0.30,,,,,,,,0.30,,3.50
O055,"Pork, spleen",3,8.44±0.81,,,,0.17±0.06,,,,,,,,0.17±0.06,,2.50±0.83
O056,"Pork, kidneys",5,72.53±6.91,,2.92,0.24±0.00,0.19±0.06,,,,,,,,0.19±0.06,,1.50±0.19
O057,"Pork, tube (small intestine)",1,1.13,,1.01,,0.20,,,,,,,,0.20,,3.50
O058,"Hare, shoulder",1,8.88,,0.06,,1.46,,,,,,,0.58,1.46,,25.59
O059,"Hare, chops",1,2.84,,0.09,,1.73,,,,,,,0.69,1.73,,23.65
O060,"Hare, leg",1,1.26,,0.08,,1.44,,,,,,,0.58,1.44,,22.18
O061,"Rabbit, shoulder",1,5.90,,0.57,,1.22,,,,,,,0.49,1.22,,24.68
O062,"Rabbit, chops",1,3.88,,0.70,,0.83,,,,,,,0.33,0.83,,25.88
O063,"Rabbit, leg",1,8.49,,0.43,,0.72,,,,,,,0.29,0.72,,23.85
P001,Allathi (Elops machnata),1,9.60,,1.03,0.25,1.02,,,,,,,,1.02,,1.98
P002,Aluva (Parastromateus niger),3,14.30±1.94,,0.79±0.02,0.34±0.08,1.00±0.56,,,,,,,,1.00±0.56,,8.88±0.03
P003,Anchovy (Stolephorus indicus),2,12.18,,2.76,0.11,0.73,,,,,,,,0.73,,0.60
P004,Ari fish (Aprion virescens ),1,1.56,,1.02,0.02,0.10,,,,,,,,0.10,,0.88
P005,Betki (Lates calcarifer),1,5.58,,1.05,0.06,0.38,,,,,,,,0.38,,0.63
P006,Black snapper (Macolor niger),1,14.55,,1.31,0.18,0.51,,,,,,,,0.51,,115
P007,Bombay duck (Harpadon nehereus),2,3.38,,0.96,0.29,0.75,,,,,,,,0.75,,1.04
P008,Bommuralu (Muraenesox cinerius),3,3.28±1.70,,3.19±0.09,0.08±0.04,0.54±0.46,,,,,,,,0.54±0.46,,0.94±0.04
P009,Cat fish (Tachysurus thalassinus),1,14.08,,1.42,0.47,0.38,,,,,,,,0.38,,0.96
P010,Chakla (Rachycentron canadum),5,1.39±0.37,,2.07±0.04,0.08±0.02,0.72±0.43,,,,,,,,0.72±0.43,,0.62±0.03
P011,Chappal (Aluterus monoceros ),1,1.37,,0.21,0.04,1.09,,,,,,,,1.09,,0.77
P012,Chelu (Elagatis bipinnulata),2,1.49,,0.86,0.17,0.41,,,,,,,,0.41,,1.06
P013,Chembali (Lutjanus quinquelineatus),1,1.59,,0.72,0.16,1.20,,,,,,,,1.20,,1.44
P014,Eri meen (Pristipomoides filamentosus),1,13.24,,0.33,0.01,0.10,,,,,,,,0.10,,0.92
P015,Gobro (Epinephelus diacanthus),2,1.82,,0.15,,0.89,,,,,,,,0.89,,1.58
P016,Guitar fish (Rhinobatus prahli),1,1.27,,0.12,0.30,0.34,,,,,,,,0.34,,3.43
P017,Hilsa (Tenualosa ilisha),2,7.42,,4.96,1.02,1.35,,,,,,,,1.35,,0.94
P018,Jallal (Arius sp.),1,8.49,,0.94,0.03,0.62,,,,,,,,0.62,,0.64
P019,Jathi vela meen (Lethrinus lentjan),2,3.16,,0.93,0.10,1.49,,,,,,,,1.49,,1.06
P020,Kadal bral (Synodus indicus),1,10.63,,1.20,0.42,0.12,,,,,,,,0.12,,0.55
