code,name,regn,f12d0,f14d0,f15d0,f16d0,f18d0,f20d0,f22d0,f24d0,f16d1c
P001,Allathi (Elops machnata),1,,36.99,5.65,205,90.69,3.48,2.17,1.87,49.07
P002,Aluva (Parastromateus niger),3,,46.21±24.45,17.84±4.87,479±164,197±30.5,9.56±2.03,5.53±2.16,,56.73±34.83
P003,Anchovy (Stolephorus indicus),2,,14.33,4.16,178,51.19,,,,20.17
P004,Ari fish (Aprion virescens ),1,,19.68,7.17,251,122,5.11,2.52,,25.05
P005,Betki (Lates calcarifer),1,1.82,5.33,,56.47,22.78,,,,16.28
P006,Black snapper (Macolor niger),1,,52.75,,312,106,,,,87.36
P007,Bombay duck (Harpadon nehereus),2,,45.49,,283,70.16,,,,69.09
P008,Bommuralu(Muraenesox cinerius),3,,145±41.1,25.20±3.00,793±144,261±30.1,10.96±2.39,1.72±2.98,,254±69.1
P009,Cat fish (Tachysurus thalassinus),1,,39,12.62,485,249,6.85,,,86.44
P010,Chakla (Rachycentron canadum),5,,60.90±63.59,11.16±7.83,392±267,182±96.3,6.68±4.15,1.08±2.43,,87.08±78.54
P011,Chappal (Aluterus monoceros ),1,,5.76,,130,63.46,,,,7.31
P012,Chelu (Elagatis bipinnulata),2,,11.18,2.74,148,64.54,1.77,0.65,0.62,18.24
P013,Chembali (Lutjanus quinquelineatus),1,,61.97,8.54,461,155,7.13,5.48,,92.54
P014,Eri meen (Pristipomoides filamentosus),1,,66.39,19.03,445,189,13.49,5.45,,74.18
P015,Gobro (Epinephelus diacanthus),2,,22.46,5.1,177,81.09,3.44,,,39.29
P016,Guitar fish (Rhinobatus prahli),1,,1.53,1.16,68.68,41.53,0.71,,,3.57
P017,Hilsa (Tenualosa ilisha),2,17.71,1650,,6091,1468,35.64,23.62,,2225
P018,Jallal (Arius sp.),1,,36.18,8.83,323,142,5.39,3.69,,74.02
P019,Jathi vela meen (Lethrinus lentjan),2,1.05,61.34,10.16,559,191,7.98,6.24,,91.3
P020,Kadal bral (Synodus indicus),1,,54.74,8.22,298,108,5.33,3.34,,76.91
P021,Kadali (Nemipterus mesoprion),1,,152,23.58,936,469,17.05,12.93,,154
P022,Kalamaara (Leptomelanosoma indicum),2,,403,35,1242,394,21.37,11.41,,417
P023,Kalava (Epinephelus coioides),1,,37.86,8.41,267,133,4.99,3.44,,57.29
P024,Kanamayya (Lutjanus rivulatus),2,,23.79,4.18,125,52.05,3.14,1.19,,22.96
P025,Kannadi paarai (Alectis indicus),3,,20.27±15.04,24.65±16.09,291±147,137±44.6,3.57±0.95,2.50±2.32,,46.51±23.91
