code,name,regn,his,ile,leu,lys,met,cys,phe,thr,trp,val
C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,1.63±0.53,5.27±0.07,8.85±0.22,4.90±0.17,0.99±0.27,0.85±0.07,6.40±0.12,4.52±0.30,1.76±0.05,5.82±0.11
C031,Radish leaves (Raphanus sativus),6,1.96±0.41,3.59±0.82,6.89±1.11,5.34±0.50,1.01±0.35,0.86±0.14,6.00±3.77,3.99±0.87,1.39±0.52,4.26±1.65
C032,Rumex leaves (Rumex patientia ),2,2.84,3.57,6.82,4.46,0.88,0.59,7.92,4.69,1.24,3.97
C033,Spinach (Spinacia oleracea),6,2.18±0.16,4.31±0.29,8.70±0.59,4.68±0.13,1.33±0.05,0.84±0.06,5.38±0.46,4.70±0.26,1.53±0.11,5.83±0.38
C034,"Tamarind leaves, tender (Tamarindus indica)",3,2.19±0.05,4.20±0.04,8.70±0.67,4.69±0.21,1.26±0.10,0.63±0.03,4.86±0.59,4.64±0.34,1.47±0.06,5.65±0.38
D001 ,Ash gourd (Benincasa hispida) ,6,2.58±1.06 ,4.31±0.72 ,5.67±0.45 ,3.39±0.69 ,1.56±0.37 ,0.83±0.17 ,3.22±0.70 ,3.65±0.38 ,0.72±0.30 ,5.11±0.62
D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,1.73,2.19,6.24,4.82,1.04,0.49,5.57,3.9,0.95,3.69
D003,"Bean scarlet, tender (Phaseolus coccineus)",5,3.23±0.20,3.96±0.35,8.31±0.26,6.70±0.28,1.46±0.16,0.62±0.09,5.13±0.23,4.43±0.42,0.88±0.16,4.54±0.27
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,3.53±0.39,4.74±0.28,7.40±0.52,6.13±0.20,1.55±0.08,0.94±0.13,2.60±0.37,4.83±0.33,1.28±0.10,6.49±0.29
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,3.17±0.33,4.71±0.36,7.19±0.33,6.63±0.50,1.49±0.12,0.98±0.39,3.15±0.48,4.72±0.39,1.42±0.20,6.51±0.41
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,3.71,4.85,7.4,6.45,1.62,0.85,2.98,4.61,1.32,6.76
D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,1.80±0.25,4.98±0.51,7.74±0.49,4.81±0.61,0.94±0.15,0.57±0.07,3.73±0.70,4.18±0.42,1.60±0.08,6.58±0.53
D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,2.10±0.42,5.20±0.27,7.80±0.50,4.97±0.86,0.97±0.26,0.60±0.14,3.41±0.90,4.62±0.14,1.67±0.23,6.64±0.28
D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,2.16,5.19,7.88,5.02,0.88,0.7,3.71,4.62,1.46,6.98
D010,Brinjal-1 (Solanum melongena),1,1.58,3.75,5.49,4.49,0.62,0.66,4.73,2.5,1.12,3.32
