code,name,regn,f20d3n6,f20d4n6,f20d5n3,f22d6n3,fasat,fams,fapu,cholc
M001,"Egg, poultry, whole, raw",6,25.95±2.47,0.00±0.00,,75.70±3.60,2958±51.8,3481±48.8,1152±39.8,366±2.6
M002,"Egg, poultry, white, raw",6,,,,,,,,
M003,"Egg, poultry, yolk, raw",6,73.72±5.76,,,180±30.1,8580±203,10068±43.8,3238±139,1076±2.9
M004,"Egg, poultry, whole, boiled",6,29.73±2.17,,,65.26±20.53,3464±131,3991±103,1294±91.7,365±1.8
M005,"Egg, poultry, white, boiled",6,,,,,,,,
M006,"Egg, poultry, yolk, boiled",6,74.14±5.99,,,187±25.6,8819±128,10643±174,3333±149,1085±2.4
M007,"Egg, poultry, omlet",3,28.27±1.68,380±63.9,,46.76±1.69,3179±28.4,4615±27.1,3168±53.0,316±1.4
M008,"Egg, country hen, whole, raw",1,13.01,,,92.46,3792,5061,1936,355
M009,"Egg, country hen, whole, boiled",1,15.29,301,,120,4074,5747,1882,369
M010,"Egg, country hen, omlet",1,20.54,329,,124,4886,6424,2317,318
M011,"Egg, duck, whole, boiled",1,,153,35.29,15.04,3598,6098,1745,856
M012,"Egg, duck, whole, raw",1,,133,35.97,16.2,3373,6063,1684,839
M013,"Egg, duck, whole, omlet",1,,185,41.93,18.57,3871,6483,1886,815
M014,"Egg, quial, whole, raw",1,,192,30.2,22.06,2788,4210,2399,833
M015,"Egg, quial, whole, boiled",1,,173,22.05,30.79,2726,4391,2403,855
N001,"Chicken, poultry, leg, skinless",4,8.33±1.08,,,,1157±61.0,1560±115,661±37.7,84.25±1.38
N002,"Chicken, poultry, thigh, skinless",6,7.36±1.97,,,,1071±29.1,1461±48.5,520±24.4,91.93±1.10
N003,"Chicken, poultry, breast, skinless",5,7.82±0.38,,,,816±23.7,991±37.4,367±14.5,61.55±0.93
N004,"Chicken, poultry, wing, skinless",5,7.31±0.38,,,,1241±55.1,1777±73.9,658±22.3,54.52±0.78
N005,"Poultry, chicken, liver",1,,,,194,1328,681,1013,268
N006,"Poultry, chicken, gizzard",1,,122,,,772,716,464,57.24
N007,"Country hen, leg, with skin",1,6.24,90,,15.98,534,681,400,87.95
N008,"Country hen, thigh, with skin",1,3.63,48,,7.63,610,750,360,91.81
N009,"Country hen, breast, with skin",1,,72,,,419,453,262,66.03
N010,"Country hen, wing, with skin",1,6.75,87,12.9,25.09,688,836,451,55.42
N011,"Duck, meat, with skin",1,,,,,345,2215,304,81.76
N012,"Emu, meat, skinless",1,,34,5.94,5.26,200,242,144,72.69
N013,"Guinea fowl, meat, with skin",1,,1,45.45,102,1138,928,995,87.48
N014,"Pigeon, meat, with skin",1,,200,94.93,29.29,1828,2588,1282,107
N015,"Quail, meat, skinless",1,,,,,2024,2789,810,77.87
N016,"Turkey, leg, with skin",1,,,,,980,938,1058,83.44
N017,"Turkey, thigh, with skin",1,,,,,1015,927,1035,85.35
N018,"Turkey, breast, with skin",1,,,,,934,884,1055,81.28
N019,"Turkey, wing, with skin",1,,,,,897,826,913,80.01
O001,"Goat, shoulder",6,,178±54.8,,,5444±803,4902±415,643±214,82.18±3.33
O002,"Goat, chops",6,,59.35±12.87,,,2877±386,2346±210,259±63.7,88.37±7.14
O003,"Goat, legs",6,,172±52.3,,,3665±471,3038±393,567±130,82.52±5.47
O004,"Goat, brain",5,,300±21.5,,516±52.1,2138±176,1447±176,939±163,1340±21.6
O005,"Goat, tongue",4,,187±93.8,,,5028±917,4916±696,758±257,206±1.8
O006,"Goat, lungs",4,,226±48.9,,,1564±372,894±196,374±72.5,448±5.6
O007,"Goat, heart",5,,125±55.6,,,1939±551,1025±224,427±141,122±1.8
O008,"Goat, liver",6,,362±80.1,,138±64.0,1770±365,921±350,924±236,415±26.4
O009,"Goat, tripe",5,,80.27±33.71,,,1682±397,1154±268,246±88.3,113±3.5
O010,"Goat, spleen",4,,199±46.8,,,1200±215,616±123,352±68.7,243±10.4
O011,"Goat, kidneys",4,,233±22.0,,,1143±194,566±60.1,480±34.4,419±10.3
O012,"Goat, tube (small intestine)",3,,245±277,,,4445±1300,2504±388,619±487,176±3.6
O013,"Goat, testis",2,,284,,,1215,590,382,118
O014,"Sheep, shoulder",5,,240±99,,,6916±1700,5096±1221,1099±451,74.72±2.97
O015,"Sheep, chops",4,,62.73±25.59,,,2773±866,1916±796,309±100,86.14±3.09
O016,"Sheep, leg",5,,164±120,,,3745±846,2605±229,669±383,84.84±2.53
O017,"Sheep, brain",1,,289,,449,2040,1183,866,1336
O018,"Sheep, tongue",1,,69.76,,,5576,5875,938,210
O019,"Sheep, lungs",2,,167,,,1138,767,301,431
O020,"Sheep, heart",1,,84.05,13.62,,1677,873,332,112
O021,"Sheep, liver",4,,364±88,,229±31.7,1822±333,772±159,1014±192,430±10.7
O022,"Sheep, tripe",2,,63.32,,,1962,1534,210,113
O023,"Sheep, spleen",1,,283,,,1533,764,466,262
O024,"Sheep, kidneys",2,,233,,,1127,588,463,299
O025,"Beef, shoulder",6,,280±168,,,7046±1155,6227±1010,1008±536,66.36±4.77
O026,"Beef, chops",4,,122±74.7,,,3031±491,2680±428,437±236,45.97±5.89
O027,"Beef, round (leg)",6,,211±12.7,,,2998±361,3280±291,480±40,55.81±1.96
O028,"Beef, brain",4,,321±77.3,,432±99.1,2490±289,1869±200,848±200,1668±28.5
O029,"Beef, tongue",4,,86.44±28.31,,,6287±716,4741±524,484±99,141±1.1
O030,"Beef, lungs",3,,146±85.9,,,1198±290,647±73.6,244±111,334±8.8
O031,"Beef, heart",5,,128±38,,,1479±273,848±240,490±136,92.73±5.29
O032,"Beef, liver",6,,218±79.7,,103±27.5,1543±331,826±202,566±162,261±9.9
O033,"Beef, tripe",5,,35.70±4.88,,,1371±491,833±216,95.26±25.86,82.66±4.33
O034,"Beef, spleen",6,,254±84.3,,,1160±159,480±130,393±113,353±8.3
O035,"Beef, kidneys",3,,135±0.0,,,1743±0.0,835±0.0,291±0.0,439±3.8
O036,"Calf, shoulder",2,,231,,,3510,2647,689,58.27
O037,"Calf, chops",2,,105,,,1966,1034,449,62.05
O038,"Calf, round (leg)",2,,233,,,2263,2433,497,50.1
O039,"Calf, brain",2,,264,,249,2202,1460,603,1345
O040,"Calf, tongue",2,,256,,,5630,4406,737,107
O041,"Calf, heart",1,,198,,,1489,696,773,130
O042,"Calf, liver",1,,265,,92,1616,670,643,306
O043,"Calf, spleen",1,,269,,,1030,513,397,360
O044,"Calf, kidneys",2,,239,,,1464,660,491,271
O045,"Mithun, shoulder",1,,889,,,4436,2157,3613,45.07
O046,"Mithun, chops",1,,340,,,2736,1276,1596,46.99
O047,"Mithun, round (leg)",1,,458,,,1442,1918,1700,44.01
O048,"Pork, shoulder",6,,121±134,,,6887±1531,8114±1217,2129±1024,44.38±2.76
O049,"Pork, chops",6,,26.53±10.54,,,4803±655,4972±373,660±193,46.98±3.18
O050,"Pork, ham",6,,114±72.8,,,6938±1069,8065±876,1875±567,47.08±1.64
O051,"Pork, lungs",4,,121±91.6,,,1247±161,867±113,469±150,232±11.0
O052,"Pork, heart",4,,255±119,,,1575±367,1247±350,1019±391,134±4.2
O053,"Pork, liver",5,,376±85,,,1325±123,700±213,896±285,216±1.4
O054,"Pork, stomach",1,,154,,,3327,2690,1090,187
O055,"Pork, spleen",3,,137±23.9,,,1245±345,820±283,397±78,201±70.8
O056,"Pork, kidneys",5,,214±36.5,,,1169±228,846±174,714±130,267±2.1
O057,"Pork, tube (small intestine)",1,,168,,,4109,3174,892,180
O058,"Hare, shoulder",1,,191,,,2698,1606,1720,79.93
O059,"Hare, chops",1,,89,,,1028,613,690,77.7
O060,"Hare, leg",1,,90,,,910,514,555,78.81
O061,"Rabbit, shoulder",1,,205,,,3142,2332,1813,82.56
O062,"Rabbit, chops",1,,94,,,1907,1480,1083,79.17
O063,"Rabbit, leg",1,,85,,,1575,1203,877,76.7
